state_name,district_name,year,season,area,production,rainfall,temperature,humidity,sun_hours
Bihar,ARARIA,1997,Autumn     ,17876.0,21397.0,1303.7,27.5,82.0,8.3
Bihar,ARARIA,1997,Summer     ,8479.0,13993.0,1303.7,21.3,69.0,9.1
Bihar,ARARIA,1997,Winter     ,93975.0,121063.0,1303.7,21.3,69.0,9.1
Bihar,AURANGABAD,1997,Summer     ,10.0,19.0,1303.7,21.3,69.0,9.1
Bihar,AURANGABAD,1997,Winter     ,185191.0,382670.0,1303.7,21.3,79.0,9.1
Bihar,BANKA,1997,Autumn     ,38.0,59.0,1303.7,21.3,69.0,9.1
Bihar,BANKA,1997,Summer     ,480.0,808.0,1303.7,21.3,69.0,8.8
Bihar,BANKA,1997,Winter     ,98943.0,159067.0,1303.7,21.3,69.0,9.1
Bihar,BEGUSARAI,1997,Autumn     ,7812.0,11698.0,1303.7,29.8,66.0,9.5
Bihar,BEGUSARAI,1997,Summer     ,144.0,210.0,1303.7,29.8,66.0,9.5
Bihar,BEGUSARAI,1997,Winter     ,12907.0,12172.0,1303.7,25.9,,8.8
Bihar,BHAGALPUR,1997,Autumn     ,1215.0,1867.0,1303.7,25.9,79.0,8.8
Bihar,BHAGALPUR,1997,Summer     ,248.0,438.0,1303.7,25.9,79.0,8.8
Bihar,BHAGALPUR,1997,Winter     ,51405.0,81057.0,1303.7,25.9,79.0,8.8
Bihar,BHOJPUR,1997,Autumn     ,682.0,733.0,1303.7,25.9,79.0,8.8
Bihar,BHOJPUR,1997,Summer     ,54.0,93.0,1303.7,25.9,79.0,8.8
Bihar,BHOJPUR,1997,Winter     ,106982.0,205530.0,1303.7,25.9,79.0,8.8
Bihar,BUXAR,1997,Summer     ,4.0,6.0,1303.7,25.9,79.0,8.8
Bihar,BUXAR,1997,Winter     ,91783.0,215629.0,1303.7,19.3,61.0,9.4
Bihar,DARBHANGA,1997,Autumn     ,19578.0,19904.0,1303.7,25.1,81.0,7.8
Bihar,DARBHANGA,1997,Summer     ,1472.0,2017.0,1303.7,26.8,81.0,8.1
Bihar,DARBHANGA,1997,Winter     ,65936.0,71543.0,1303.7,26.8,81.0,8.1
Bihar,GAYA,1997,Autumn     ,2816.0,4607.0,1303.7,26.8,70.0,8.1
Bihar,GAYA,1997,Summer     ,359.0,698.0,1303.7,26.8,81.0,8.1
Bihar,GAYA,1997,Winter     ,99537.0,149409.0,1303.7,26.8,81.0,8.1
Bihar,GOPALGANJ,1997,Autumn     ,73672.0,119083.0,1303.7,22.1,67.0,9.0
Bihar,GOPALGANJ,1997,Summer     ,27.0,49.0,1303.7,20.0,67.0,9.0
Bihar,GOPALGANJ,1997,Winter     ,30205.0,52009.0,1303.7,22.1,67.0,9.0
Bihar,JAMUI,1997,Summer     ,112.0,226.0,1303.7,22.1,67.0,9.0
Bihar,JAMUI,1997,Winter     ,31966.0,36808.0,1303.7,22.1,67.0,9.0
Bihar,JEHANABAD,1997,Autumn     ,3.0,3.0,1303.7,22.1,67.0,9.0
Bihar,JEHANABAD,1997,Summer     ,124.0,250.0,1303.7,28.4,68.0,9.4
Bihar,JEHANABAD,1997,Winter     ,90101.0,125150.0,1303.7,28.4,68.0,9.4
Bihar,KAIMUR (BHABUA),1997,Autumn     ,367.0,395.0,1303.7,27.1,78.0,8.9
Bihar,KAIMUR (BHABUA),1997,Winter     ,108363.0,216228.0,1303.7,27.1,78.0,8.9
Bihar,KATIHAR,1997,Autumn     ,21370.0,24893.0,1303.7,27.1,78.0,8.9
Bihar,KATIHAR,1997,Summer     ,36882.0,74067.0,1303.7,27.1,78.0,8.9
Bihar,KATIHAR,1997,Winter     ,70067.0,82310.0,1303.7,27.1,78.0,8.9
Bihar,KHAGARIA,1997,Autumn     ,6967.0,4272.0,1303.7,27.1,78.0,8.9
Bihar,KHAGARIA,1997,Summer     ,302.0,521.0,1303.7,27.1,78.0,8.9
Bihar,KHAGARIA,1997,Winter     ,16316.0,18960.0,1303.7,27.1,78.0,8.9
Bihar,KISHANGANJ,1997,Autumn     ,12838.0,10254.0,1303.7,27.1,78.0,8.9
Bihar,KISHANGANJ,1997,Summer     ,9144.0,20521.0,1303.7,18.1,62.0,9.5
Bihar,KISHANGANJ,1997,Winter     ,75467.0,86418.0,1303.7,25.1,83.0,7.9
Bihar,LAKHISARAI,1997,Winter     ,31361.0,38025.0,1303.7,26.9,86.0,8.1
Bihar,MADHEPURA,1997,Autumn     ,18452.0,26003.0,1303.7,26.9,86.0,8.1
Bihar,MADHEPURA,1997,Summer     ,7162.0,15213.0,1303.7,26.9,86.0,8.1
Bihar,MADHEPURA,1997,Winter     ,58064.0,100533.0,1303.7,26.9,86.0,8.1
Bihar,MADHUBANI,1997,Autumn     ,25274.0,32983.0,1303.7,22.1,71.0,9.2
Bihar,MADHUBANI,1997,Summer     ,5198.0,11149.0,1303.7,22.1,71.0,9.2
Bihar,MADHUBANI,1997,Winter     ,141257.0,151364.0,1303.7,22.1,71.0,9.2
Bihar,MUNGER,1997,Autumn     ,5.0,5.0,1303.7,22.1,71.0,9.2
Bihar,MUNGER,1997,Summer     ,23.0,46.0,1303.7,22.1,71.0,9.2
Bihar,MUNGER,1997,Winter     ,32374.0,51041.0,1303.7,22.1,71.0,9.2
Bihar,MUZAFFARPUR,1997,Autumn     ,28848.0,34285.0,1303.7,22.1,71.0,9.2
Bihar,MUZAFFARPUR,1997,Summer     ,1584.0,2438.0,1303.7,22.1,71.0,9.2
Bihar,MUZAFFARPUR,1997,Winter     ,103795.0,137271.0,1303.7,22.1,71.0,9.2
Bihar,NALANDA,1997,Summer     ,83.0,167.0,1303.7,30.1,67.0,9.6
Bihar,NALANDA,1997,Winter     ,107219.0,118067.0,1303.7,30.1,67.0,9.6
Bihar,NAWADA,1997,Autumn     ,2.0,2.0,1303.7,26.9,78.0,8.9
Bihar,NAWADA,1997,Summer     ,145.0,260.0,1303.7,26.9,78.0,8.9
Bihar,NAWADA,1997,Winter     ,84042.0,126323.0,1303.7,26.9,78.0,8.9
Bihar,PASHCHIM CHAMPARAN,1997,Autumn     ,80375.0,147314.0,1303.7,26.9,78.0,8.9
Bihar,PASHCHIM CHAMPARAN,1997,Summer     ,10460.0,16108.0,1303.7,26.9,78.0,8.9
Bihar,PASHCHIM CHAMPARAN,1997,Winter     ,121516.0,224254.0,1303.7,26.9,78.0,8.9
